Path,File,E_Tot,E_Ref,E_Corr,E_SS,E_OS
./opt-HBIL-structures/srs-mp2-TMEA/,TMEA-mOSO3-p1-opt-frag0.out,[H],-251.8089605364534691,-1.1015974743072956,-0.2422045425072745,-0.8593929317998367
./opt-HBIL-structures/srs-mp2-TMEA/,TMEA-mOSO3-p1-opt-frag1.out,[H],-736.7512319652234964,-1.3210619614223529,-0.3476625310919524,-0.9733994303301852
./opt-HBIL-structures/srs-mp2-TMEA/,TMEA-mSO3-p1-opt-all.out,[H],-913.8086168656074051,-2.2044919313799825,-0.5336365048848218,-1.6708554264942026
./opt-HBIL-structures/srs-mp2-TMEA/,TMEA-mSO3-p1-opt-frag0.out,[H],-251.8088380727417643,-1.1016460520636406,-0.2422201372962776,-0.8594259147671828
./opt-HBIL-structures/srs-mp2-TMEA/,TMEA-mSO3-p1-opt-frag1.out,[H],-661.8578860978407192,-1.0887008510093852,-0.2847685234615089,-0.8039323275478212
./opt-HBIL-structures/srs-mp2-TMEA/,TMEA-NO3-p1-opt-all.out,[H],-530.9707237315456041,-2.0366819971939654,-0.4993556087676697,-1.5373263884207062
./opt-HBIL-structures/srs-mp2-TMEA/,TMEA-NO3-p1-opt-frag0.out,[H],-251.8083049194373189,-1.1018244005340634,-0.2422996427695654,-0.8595247577643038
./opt-HBIL-structures/srs-mp2-TMEA/,TMEA-NO3-p1-opt-frag1.out,[H],-279.0269215845840449,-0.9203118188045324,-0.2505643902184007,-0.6697474285857465
./opt-HBIL-structures/srs-mp2-TMEA/,TMEA-TFA-p1-opt-frag0.out,[H],-251.8083750181037317,-1.1018369734620765,-0.2423285352166578,-0.8595084382451659
./opt-HBIL-structures/srs-mp2-TMEA/,TMEA-TFA-p1-opt-all.out,[H],-775.9729192786661542,-2.6423196612902053,-0.6589571466477568,-1.9833625146381531
./opt-HBIL-structures/srs-mp2-TMEA/,TMEA-TFA-p1-opt-frag1.out,[H],-524.0351803430401105,-1.5256120142071969,-0.4098139489890633,-1.1157980652176844
./opt-HBIL-structures/hf-aVQZ-DEMA/,DMEA-CF3SO3-p1-opt-all.out,-1171.5452325037424544,,,,
./opt-HBIL-structures/hf-aVQZ-DEMA/,DMEA-CF3SO3-p1-opt-frag0.out,-212.7782484674152670,,,,
./opt-HBIL-structures/hf-aVQZ-DEMA/,DMEA-CF3SO3-p1-opt-frag1.out,-958.6237429393129332,,,,
./opt-HBIL-structures/hf-aVQZ-DEMA/,DMEA-Cl-p1-opt-all.out,-672.5223342919188099,,,,
./opt-HBIL-structures/hf-aVQZ-DEMA/,DMEA-Cl-p1-opt-frag0.out,-212.7757994809106776,,,,
./opt-HBIL-structures/hf-aVQZ-DEMA/,DMEA-Cl-p1-opt-frag1.out,-459.5763528788389749,,,,
./opt-HBIL-structures/hf-aVQZ-DEMA/,DMEA-mOSO3-p1-opt-all.out,-949.7361375039931772,,,,
./opt-HBIL-structures/hf-aVQZ-DEMA/,DMEA-mOSO3-p1-opt-frag0.out,-212.7775088653066859,,,,
./opt-HBIL-structures/hf-aVQZ-DEMA/,DMEA-mOSO3-p1-opt-frag1.out,-736.7991081444072279,,,,
./opt-HBIL-structures/hf-aVQZ-DEMA/,DMEA-mSO3-p1-opt-frag0.out,-212.7756224546088788,,,,
./opt-HBIL-structures/hf-aVQZ-DEMA/,DMEA-mSO3-p1-opt-all.out,-874.8417925007586291,,,,
./opt-HBIL-structures/hf-aVQZ-DEMA/,DMEA-NO3-p1-opt-all.out,-491.9959346590015912,,,,
./opt-HBIL-structures/hf-aVQZ-DEMA/,DMEA-NO3-p1-opt-frag0.out,-212.7756724352757942,,,,
./opt-HBIL-structures/hf-aVQZ-DEMA/,DMEA-mSO3-p1-opt-frag1.out,-661.8996773414986592,,,,
./opt-HBIL-structures/hf-aVQZ-DEMA/,DMEA-NO3-p1-opt-frag1.out,-279.0566476985129611,,,,
./opt-HBIL-structures/hf-aVQZ-DEMA/,DMEA-TFA-p1-opt-frag0.out,-212.7750176728160909,,,,
./opt-HBIL-structures/hf-aVQZ-DEMA/,DMEA-TFA-p1-opt-all.out,-737.0271524760380544,,,,
./opt-HBIL-structures/hf-aVQZ-DEMA/,DMEA-TFA-p1-opt-frag1.out,-524.0832403475103547,,,,
./opt-HBIL-structures/hf-aVQZ-EtMeNH2/,EtMeNH2-CF3SO3-p1-opt-all.out,-1132.5055889488648972,,,,
./opt-HBIL-structures/hf-aVQZ-EtMeNH2/,EtMeNH2-CF3SO3-p1-opt-frag1.out,-958.6230539404834872,,,,
./opt-HBIL-structures/hf-aVQZ-EtMeNH2/,EtMeNH2-CF3SO3-p1-opt-frag0.out,-173.7307033455925023,,,,
./opt-HBIL-structures/hf-aVQZ-EtMeNH2/,EtMeNH2-Cl-p1-opt-all.out,-633.4773525600038511,,,,
./opt-HBIL-structures/hf-aVQZ-EtMeNH2/,EtMeNH2-Cl-p1-opt-frag0.out,-173.7278045387741656,,,,
./opt-HBIL-structures/hf-aVQZ-EtMeNH2/,EtMeNH2-Cl-p1-opt-frag1.out,-459.5763528788389749,,,,
./opt-HBIL-structures/hf-aVQZ-EtMeNH2/,EtMeNH2-mOSO3-p1-opt-all.out,-910.6913684968515099,,,,
./opt-HBIL-structures/hf-aVQZ-EtMeNH2/,EtMeNH2-mOSO3-p1-opt-frag0.out,-173.7301120981156544,,,,
./opt-HBIL-structures/hf-aVQZ-EtMeNH2/,EtMeNH2-mOSO3-p1-opt-frag1.out,-736.7990659339219519,,,,
./opt-HBIL-structures/hf-aVQZ-EtMeNH2/,EtMeNH2-mSO3-p1-opt-all.out,-835.8025406620026843,,,,
./opt-HBIL-structures/hf-aVQZ-EtMeNH2/,EtMeNH2-mSO3-p1-opt-frag0.out,-173.7289639260194178,,,,
./opt-HBIL-structures/hf-aVQZ-EtMeNH2/,EtMeNH2-mSO3-p1-opt-frag1.out,-661.8997041695728285,,,,
./opt-HBIL-structures/hf-aVQZ-EtMeNH2/,EtMeNH2-NO3-p1-opt-all.out,-452.9529807995606916,,,,
./opt-HBIL-structures/hf-aVQZ-EtMeNH2/,EtMeNH2-NO3-p1-opt-frag0.out,-173.7275901220762080,,,,
./opt-HBIL-structures/hf-aVQZ-EtMeNH2/,EtMeNH2-TFA-p1-opt-all.out,-697.9833153923161717,,,,
./opt-HBIL-structures/hf-aVQZ-EtMeNH2/,EtMeNH2-NO3-p1-opt-frag1.out,-279.0566049268941242,,,,
./opt-HBIL-structures/hf-aVQZ-EtMeNH2/,EtMeNH2-TFA-p1-opt-frag0.out,-173.7258155202635521,,,,
./opt-HBIL-structures/hf-aVQZ-EtMeNH2/,EtMeNH2-TFA-p1-opt-frag1.out,-524.0831287242203871,,,,
./opt-HBIL-structures/hf-aVQZ-EtNH3/,EtNH3-CF3SO3-p1-opt-all.out,-1093.4614777700160175,,,,
./opt-HBIL-structures/hf-aVQZ-EtNH3/,EtNH3-CF3SO3-p1-opt-frag0.out,-134.6799828910695851,,,,
./opt-HBIL-structures/hf-aVQZ-EtNH3/,EtNH3-CF3SO3-p1-opt-frag1.out,-958.6233523003686514,,,,
